dimension,replicate_basis_cv_r2_all,replicate_basis_cv_r2_odd,replicate_basis_cv_r2_even,ordinary_pca_cv_r2_all
1,0.39862672164042745,0.39848029841679344,0.39844055688059354,0.3986268276844521
2,0.6290658663030375,0.6281359316777844,0.6296707584119685,0.6290658759336416
3,0.7687409837024487,0.768310524171629,0.7688708140602907,0.768742067515469
4,0.8451565817729867,0.8448041405119153,0.8452664443228111,0.8451599908062579
5,0.8786894931274143,0.8783792861381347,0.8787640232925595,0.8786596934306656
6,0.9117868390879375,0.9114897550597627,0.9118814700443885,0.9117995955425201
7,0.9402867758761201,0.9401324991159287,0.940267452324575,0.9402818462366594
8,0.9640442363855233,0.9640016390596106,0.9639815515567419,0.9640477178993028
9,0.9752418835165145,0.9752247848809764,0.9751811716612971,0.9752446796657532
10,0.9870470564047699,0.9870404296791612,0.9869937672097249,0.9870486611759008
11,0.9905128365695272,0.9905284900346539,0.9904494717596205,0.9905153756488105
12,0.9944931759818575,0.9945119342214248,0.9944354250062553,0.9944936722607414
13,0.9960760570831282,0.9960936094241519,0.9960280038010304,0.9960763662071748
14,0.9972277732475463,0.9972406820146703,0.9971886579436028,0.9972290408781832
15,0.9981324342233807,0.9981454325230906,0.9980972670888403,0.9981331955014418
16,0.9986447999335708,0.9986480262537839,0.9986235262614614,0.9986452416360112
17,0.999062085011061,0.9990647982345826,0.9990434980483376,0.9990622237671937
18,0.9992667852582984,0.9992660776260587,0.9992543640829232,0.9992674915169264
19,0.9995246928131456,0.9995217361520694,0.9995160350310945,0.9995253901877728
20,0.9996413254539683,0.9996390040653166,0.9996336165880164,0.9996417254072707
21,0.9997564522232706,0.9997544937824525,0.9997494847257059,0.9997566631653791
22,0.999802922889705,0.9998011719061846,0.9997969630067334,0.9998035156902468
23,0.9998549335418685,0.9998528769013934,0.9998502399094573,0.9998554620589408
24,0.9998843336083073,0.9998823067201628,0.9998800994627608,0.9998847237813107
