index,population_center
1,-0.6434201530901057
2,-0.6746856176374376
3,-0.7045425607169878
4,-0.7327649991929585
5,-0.7594361525664705
6,-0.7850180942606715
7,-0.809797472187999
8,-0.8337592939299635
9,-0.8569714373254848
10,-0.8793403277930539
11,-0.9007670751100256
12,-0.9213254040631483
13,-0.9408789862294226
14,-0.9591802818726042
15,-0.9757251348382701
16,-0.9895329671479446
17,-0.9986488486038838
18,-0.9995734585069114
19,-0.9866879329554371
20,-0.9504441037088606
21,-0.8766836738234997
22,-0.747863419114464
23,-0.547023053361384
24,-0.26559015789361273
25,0.09012392374903162
26,0.4958834713014059
27,0.9148143136073621
28,1.304793416594255
29,1.6267005215139883
30,1.8544626490014513
31,1.9829011277244872
32,2.022957796753351
33,1.9945552211768578
34,1.918236378004227
35,1.8127209471992511
36,1.68729274232388
37,1.5472084148701377
38,1.394629922212387
39,1.2306095873131888
40,1.0567047127569729
41,0.8770384519154535
42,0.6980064272849351
43,0.52550421479871
44,0.3657797723377765
45,0.2247240173544642
46,0.10562752468226475
47,0.008486390231910711
48,-0.0688684329507228
49,-0.12921710776653042
50,-0.17592219092187028
51,-0.21271611499911983
52,-0.24307758183242836
53,-0.2699772322344836
54,-0.29560607000275246
55,-0.3215134581862515
56,-0.3486790435705136
57,-0.3775960215541753
58,-0.4083246377071476
59,-0.4405173071843739
60,-0.4738156390459437
61,-0.5077882045070319
62,-0.5418968332070436
63,-0.5756735222702895
64,-0.60891194083646
