eigen_index,replicate_eigenvalue,ordinary_patient_mean_eigenvalue
1,2.0819817398476133,2.0834010857573397
2,1.1969146545126663,1.197923943287267
3,0.7288919685770874,0.7293623699484997
4,0.38887801262664445,0.3891716408069923
5,0.19350881365667444,0.1936209396140957
6,0.16117026811224364,0.16162546579949366
7,0.13736509697688376,0.13759561959877672
8,0.10453416212933038,0.10468961636979639
9,0.05699181145987235,0.05706993672110284
10,0.052339841156944955,0.05239335503889973
11,0.019024040374382684,0.019073498302619
12,0.016525243061354482,0.016561050809821516
13,0.00764573806978433,0.007672408466033154
14,0.005625238861936774,0.0056474038547092
15,0.004262966712308931,0.004279177512813604
16,0.0025376881675714088,0.0025464849345712085
17,0.0019168407947499824,0.001924447337240741
18,0.0010854770145755633,0.0010929590565525152
19,0.0009007129350959238,0.0009047773572781125
20,0.0005334302877368997,0.0005377542259409091
21,0.0004472962648121946,0.000450720202795493
22,0.00021317868748248667,0.00021689514250751373
23,0.00018594981444143414,0.00018879855880654024
24,0.00011389624644008688,0.00011557091413163121
25,9.279018291907401e-05,9.513214360494797e-05
26,7.170377660988658e-05,7.328010168490308e-05
27,5.36120773904296e-05,5.4626345474343166e-05
28,3.766633868694888e-05,3.8702255245736246e-05
29,2.9366596616962282e-05,3.0016785030686248e-05
30,1.7799415882441552e-05,1.851590773007374e-05
31,1.2178164381932334e-05,1.2561848523788717e-05
32,9.135966910022118e-06,1.0073704352713399e-05
33,5.309840938587824e-06,5.763608871901859e-06
34,4.802209530974591e-06,5.518761913157181e-06
35,3.462400205603661e-06,3.8620304382500985e-06
36,2.704468492592811e-06,3.1868737198582472e-06
37,2.335318067233636e-06,2.748733463048807e-06
38,1.0104868131675112e-06,1.3983946384490567e-06
39,7.842023890440894e-07,1.187131510279032e-06
40,4.957422268190128e-07,7.952309199670953e-07
41,4.77182719829806e-07,6.944225473513737e-07
42,3.428119223282444e-07,6.188321864025744e-07
43,2.2301586558670444e-07,4.874230970288097e-07
44,2.0036261596394542e-07,3.8525404113390885e-07
45,1.682331608786185e-07,3.1467886837592877e-07
46,1.2170761226679856e-07,2.8942956219649086e-07
47,9.845481443706347e-08,2.2675199213709807e-07
48,7.915896161889172e-08,1.971513983814439e-07
49,6.371057878111676e-08,1.7125616413904127e-07
50,4.297316380332804e-08,1.6347362920288054e-07
51,3.878078090028977e-08,1.2574766396024882e-07
52,2.383727126457885e-08,1.2217311165221695e-07
53,2.2589101977333545e-08,1.101219103715284e-07
54,2.0814077102899066e-08,1.0375988095237543e-07
55,4.609606837356163e-09,8.839639101985539e-08
56,-1.6252388715077276e-17,8.583887408062055e-08
57,-1.4289368382488202e-09,7.473913741579495e-08
58,-5.615741540693958e-09,6.929906915095604e-08
59,-1.3333212525118725e-08,6.259533392962721e-08
60,-1.6502944209327508e-08,5.382034579768428e-08
61,-2.9190612237959926e-08,5.065601434661103e-08
62,-4.328564163403846e-08,4.8354610285001943e-08
63,-8.243403759231141e-08,4.542862589908469e-08
64,-8.686745853896164e-08,-2.554740783673689e-17
