section,metric,value,unit,role,source,note
population_geometry,source_n,1000,patients,authoritative,discovery,
population_geometry,analysable_n,978,patients,authoritative,discovery,
population_geometry,effective_rank,5.781627871619092,dimensionless,authoritative,discovery,
population_geometry,d90,6,dimensions,authoritative,discovery,
population_geometry,d95,8,dimensions,authoritative,discovery,
population_geometry,selected_B8_dimension,8,dimensions,authoritative,discovery,
population_geometry,cv_r2_all,0.9640442363855233,R2,authoritative,discovery,
population_geometry,half_split_overlap_median,0.9776711907405065,overlap,authoritative,discovery,
population_geometry,within_variance_captured_by_between_basis,0.923147689991933,fraction,authoritative,discovery,
population_geometry,between_within_projector_overlap,0.945114847275724,overlap,authoritative,discovery,
representation_identifiability,conventional_to_B8_oof_r2,0.136957,R2,authoritative,WFP0,level + log(scale) + log(duration)
representation_identifiability,conditioned_residual_trace_fraction,0.863038,fraction,authoritative,WFP0,
constitutional_mean,age_sex_oof_r2,0.029482,R2,authoritative,Stage7B,
constitutional_mean,age_sex_residual_trace_fraction,0.970517,fraction,authoritative,Stage7B,
constitutional_mean,quadratic_age_sex_oof_r2,0.026249,R2,sensitivity,Stage7B,
constitutional_mean,conventional_plus_age_sex_oof_r2,0.18359,R2,secondary,Stage7B,
constitutional_mean,age_sex_increment_beyond_conventional,0.046634,delta_R2,secondary,Stage7B,
constitutional_mean,height_complete_case_n,693,patients,authoritative,Stage7B,
constitutional_mean,height_delta_beyond_age_sex,-0.001292,delta_R2,secondary,Stage7B,
between_within_scale,between_pairwise_rms,3.161452,B8_distance,authoritative,scale audit,
between_within_scale,between_pairwise_median,2.453052,B8_distance,authoritative,scale audit,
between_within_scale,nearest_neighbor_median,0.463522,B8_distance,authoritative,scale audit,
between_within_scale,within_equal_patient_rms,0.679064,B8_distance,authoritative,scale audit,
between_within_scale,adjacent_60s_step_median,0.190629,B8_distance,authoritative,scale audit,
between_within_scale,odd_even_replicate_rms,0.138692,B8_distance,authoritative,scale audit,
between_within_scale,between_over_replicate,22.794746,ratio,authoritative,scale audit,
between_within_scale,within_over_between,0.214795,ratio,authoritative,scale audit,
between_within_scale,within_over_replicate,4.896195,ratio,authoritative,scale audit,
between_within_scale,p95_block_displacement_ge_nn_fraction,0.705521,fraction,secondary,scale audit,
chronic_phenotype_mapping,analysis_n,887,patients,authoritative,Stage7C,
chronic_phenotype_mapping,baseline_oof_r2,0.182252,R2,authoritative,Stage7C,
chronic_phenotype_mapping,joint_8phenotype_oof_r2,0.17505,R2,authoritative,Stage7C,
chronic_phenotype_mapping,phenotype_block_delta_oof_r2,-0.007202,delta_R2,authoritative,Stage7C,
chronic_phenotype_mapping,FDR_significant_global_phenotypes,0,count,authoritative,Stage7C,8 prespecified global phenotype tests
constitutional_nonlinear_sensitivity,M0_linear_age_sex_oof_r2,0.029482,R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,M1_RCS_age_sex_oof_r2,0.023073,R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,M1_minus_M0,-0.006409,delta_R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,M2_RCS_age_by_sex_oof_r2,0.018845,R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,M2_minus_M0,-0.010637,delta_R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,H2_RCS_age_height_oof_r2,0.016699,R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,nonlinear_height_increment,-0.005638,delta_R2,sensitivity,Stage7B-NL,
constitutional_nonlinear_sensitivity,height_by_sex_increment,-0.00567,delta_R2,sensitivity,Stage7B-NL,
constitutional_residual_dependence,full_residual_dcor,0.167447,dCor,sensitivity,Stage7B-NL,
constitutional_residual_dependence,height_residual_dcor,0.180459,dCor,sensitivity,Stage7B-NL,
constitutional_residual_dependence,full_pipeline_null_q95,0.102055,dCor,artifact_control,Stage7B-RD,
constitutional_residual_dependence,full_pipeline_holm_p,0.002,p,artifact_control,Stage7B-RD,
constitutional_residual_dependence,height_pipeline_null_q95,0.132398,dCor,artifact_control,Stage7B-RD,
constitutional_residual_dependence,height_pipeline_holm_p,0.002,p,artifact_control,Stage7B-RD,
constitutional_residual_dependence,full_within_fold_p,0.001,p,artifact_control,Stage7B-RD,
constitutional_residual_dependence,height_within_fold_p,0.001,p,artifact_control,Stage7B-RD,
