dimension,replicate_basis_cv_r2_all,replicate_basis_cv_r2_odd,replicate_basis_cv_r2_even,ordinary_pca_cv_r2_all,fourier_cv_r2_all
1,0.3986267216404274,0.3984802984167934,0.3984405568805935,0.3986268276844521,
2,0.6290658663030375,0.6281359316777844,0.6296707584119685,0.6290658759336416,0.3464858991450322
3,0.7687409837024487,0.768310524171629,0.7688708140602907,0.768742067515469,
4,0.8451565817729867,0.8448041405119153,0.8452664443228111,0.8451599908062579,0.5985778648653186
5,0.8786894931274143,0.8783792861381347,0.8787640232925595,0.8786596934306656,
6,0.9117868390879376,0.9114897550597628,0.9118814700443884,0.91179959554252,0.7645657424188381
7,0.94028677587612,0.9401324991159288,0.940267452324575,0.9402818462366594,
8,0.9640442363855232,0.9640016390596106,0.963981551556742,0.9640477178993028,0.8688150629133446
9,0.9752418835165144,0.9752247848809764,0.9751811716612973,0.9752446796657532,
10,0.98704705640477,0.9870404296791612,0.9869937672097248,0.9870486611759008,0.9358072608554108
11,0.9905128365695272,0.990528490034654,0.9904494717596204,0.9905153756488104,
12,0.9944931759818576,0.9945119342214248,0.9944354250062551,0.9944936722607414,0.9699676629485738
13,0.9960760570831282,0.996093609424152,0.9960280038010304,0.9960763662071748,
14,0.9972277732475464,0.9972406820146704,0.9971886579436028,0.9972290408781832,0.9850170049770052
15,0.9981324342233808,0.9981454325230906,0.9980972670888404,0.9981331955014418,
16,0.9986447999335708,0.998648026253784,0.9986235262614614,0.9986452416360112,0.992176701816154
17,0.999062085011061,0.9990647982345826,0.9990434980483376,0.9990622237671936,
18,0.9992667852582984,0.9992660776260588,0.9992543640829232,0.9992674915169264,0.9957453666230154
19,0.9995246928131456,0.9995217361520694,0.9995160350310944,0.9995253901877728,
20,0.9996413254539684,0.9996390040653166,0.9996336165880164,0.9996417254072708,0.997570138342885
21,0.9997564522232706,0.9997544937824524,0.999749484725706,0.9997566631653791,
22,0.999802922889705,0.9998011719061846,0.9997969630067334,0.9998035156902468,0.9985084244099774
23,0.9998549335418684,0.9998528769013934,0.9998502399094572,0.9998554620589408,
24,0.9998843336083072,0.9998823067201628,0.9998800994627608,0.9998847237813108,0.9990170152865588
